id,type,question,options,answer,category_big,category_small
225,single_choice,大语言模型（LLM）主要基于以下哪种人工智能技术？,"{""A"": ""决策树"", ""B"": ""深度学习"", ""C"": ""支持向量机"", ""D"": ""强化学习""}",B,科技,人工智能
226,single_choice,Transformer 结构的核心机制是什么？,"{""A"": ""递归神经网络（RNN）"", ""B"": ""卷积神经网络（CNN）"", ""C"": ""注意力机制（Attention）"", ""D"": ""强化学习（Reinforcement Learning）""}",C,科技,人工智能
227,single_choice,下列关于 GPT（生成式预训练模型）的描述正确的是？,"{""A"": ""GPT 使用双向 Transformer 进行训练"", ""B"": ""GPT 主要用于图像处理任务"", ""C"": ""GPT 采用无监督学习进行预训练"", ""D"": ""GPT 不需要大规模数据集进行训练""}",C,科技,人工智能
228,single_choice,大语言模型通常采用什么方式进行微调（Fine-tuning）？,"{""A"": ""使用小规模特定领域数据进一步训练"", ""B"": ""直接修改模型参数"", ""C"": ""使用强化学习进行训练"", ""D"": ""重新从零训练模型""}",A,科技,人工智能
229,single_choice,以下哪项不是大模型的主要挑战？,"{""A"": ""计算资源消耗大"", ""B"": ""数据需求量大"", ""C"": ""容易过拟合小数据集"", ""D"": ""可以完美理解所有人类语言""}",D,科技,人工智能
230,single_choice,ChatGPT 是基于哪种类型的预训练方法？,"{""A"": ""无监督学习"", ""B"": ""有监督学习"", ""C"": ""强化学习"", ""D"": ""半监督学习""}",A,科技,人工智能
231,single_choice,下列关于大模型训练数据的说法错误的是？,"{""A"": ""数据越多，模型效果就一定越好"", ""B"": ""数据质量对模型表现至关重要"", ""C"": ""去重和清洗数据可以提高训练效果"", ""D"": ""数据标注有助于提升监督学习任务的效果""}",A,科技,人工智能
232,single_choice,大语言模型可以用于哪些实际应用？,"{""A"": ""文本生成"", ""B"": ""代码自动补全"", ""C"": ""自动摘要"", ""D"": ""以上都是""}",D,科技,人工智能
233,single_choice,RLHF（基于人类反馈的强化学习）在 ChatGPT 训练中的作用是什么？,"{""A"": ""提高模型的计算速度"", ""B"": ""帮助模型更符合人类偏好"", ""C"": ""减少训练数据的需求"", ""D"": ""让模型能够进行多模态学习""}",B,科技,人工智能
234,single_choice,哪种方法可以用于提高大语言模型的推理速度？,"{""A"": ""增加训练数据"", ""B"": ""使用模型蒸馏（Distillation）"", ""C"": ""扩大模型参数量"", ""D"": ""减少训练步数""}",B,科技,人工智能
